index,project name,street name,tenure,no. of units,price,nett price,areasq,type of area,floor level,unit price psf,date of sale,market segment_CCR,market segment_OCR,market segment_RCR,postal district_2.0,postal district_3.0,postal district_4.0,postal district_5.0,postal district_8.0,postal district_9.0,postal district_10.0,postal district_11.0,postal district_12.0,postal district_13.0,postal district_14.0,postal district_15.0,postal district_16.0,postal district_17.0,postal district_18.0,postal district_19.0,postal district_20.0,postal district_21.0,postal district_22.0,postal district_23.0,postal district_25.0,postal district_26.0,postal district_27.0,postal district_28.0,type_Detached,type_Semi-detached,type_Terrace,type of sale_New Sale,type of sale_Resale,type of sale_Sub Sale
6024,LANDED HOUSING DEVELOPMENT,EE TEOW LENG ROAD,999,1.0,2750000.0,-,1844.0,Land,-,1491.0,Jul-2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6025,HOLLAND GROVE,HOLLAND GROVE VIEW,72,1.0,2750000.0,-,2168.0,Land,-,1269.0,Jan-2019,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
6026,SENNETT ESTATE,LICHI AVENUE,999,1.0,2750000.0,-,1770.0,Land,-,1554.0,Jul-2020,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6027,LANDED HOUSING DEVELOPMENT,LORONG LEW LIAN,999,1.0,2750000.0,-,1818.0,Land,-,1513.0,Oct-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6028,YUNNAN GARDENS,YUNNAN CRESCENT,999,1.0,2750000.0,-,3653.0,Land,-,753.0,Mar-2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
6029,SERANGOON GARDEN ESTATE,MEDWAY DRIVE,932,1.0,2750000.0,-,2596.0,Land,-,1059.0,Sep-2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6030,D' SILVA TERRACE,KANG CHOO BIN ROAD,861,1.0,2750000.0,-,1631.0,Land,-,1686.0,Feb-2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6031,SERANGOON GARDEN ESTATE,BODMIN DRIVE,933,1.0,2750000.0,-,1628.0,Land,-,1690.0,Dec-2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6032,LANDED HOUSING DEVELOPMENT,HENDRY CLOSE,999,1.0,2750000.0,-,1443.0,Land,-,1905.0,Aug-2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6033,SEMBAWANG HILLS ESTATE,NEMESU AVENUE,999,1.0,2750000.0,-,1501.0,Land,-,1833.0,Jul-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
6034,SEMBAWANG HILLS ESTATE,CASUARINA ROAD,999,1.0,2750000.0,-,1493.0,Land,-,1842.0,Jun-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
6035,LANDED HOUSING DEVELOPMENT,BRIGHTON AVENUE,999,1.0,2750000.0,-,2733.0,Land,-,1006.0,Apr-2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
6036,GOLDEN HILL ESTATE,MEI HWAN DRIVE,999,1.0,2750000.0,-,2016.0,Land,-,1364.0,Nov-2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
6037,LANDED HOUSING DEVELOPMENT,JALAN LENGKOK SEMBAWANG,999,1.0,2750000.0,-,3227.0,Land,-,852.0,Apr-2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
6038,THOMSON PARK,JALAN TERUBOK,999,1.0,2750000.0,-,1502.0,Land,-,1831.0,Jun-2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
6039,PAVILION PARK,PAVILION GREEN,999,1.0,2750000.0,-,1616.0,Land,-,1702.0,Aug-2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
6040,LANDED HOUSING DEVELOPMENT,JALAN TARI ZAPIN,857,1.0,2750000.0,-,1838.0,Land,-,1496.0,Dec-2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
6041,THE SPRINGSIDE,SPRINGSIDE VIEW,999,1.0,2750000.0,-,1745.0,Land,-,1576.0,Feb-2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
6042,LANDED HOUSING DEVELOPMENT,LORONG CHUAN,999,1.0,2750000.0,-,3454.0,Land,-,796.0,Dec-2016,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
6043,MICHAELS' RESIDENCES,ALMOND AVENUE,90,1.0,2750000.0,-,2215.0,Land,-,1241.0,Oct-2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
6044,LANDED HOUSING DEVELOPMENT,SIMON WALK,999,1.0,2750000.0,-,1759.0,Land,-,1564.0,Mar-2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6045,SELETAR HILLS ESTATE,JALAN KERUING,999,1.0,2750000.0,-,2160.0,Land,-,1273.0,Mar-2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
6046,LANDED HOUSING DEVELOPMENT,JALAN WANGI,999,1.0,2750000.0,-,2285.0,Land,-,1203.0,Jul-2021,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6047,PARRYVILLE,POH HUAT DRIVE,861,1.0,2750000.0,-,1819.0,Land,-,1512.0,May-2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6048,PROSPECT GARDEN,LORONG J TELOK KURAU,999,1.0,2750000.0,-,1746.0,Land,-,1575.0,Feb-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6049,LANDED HOUSING DEVELOPMENT,LORONG 105 CHANGI,999,1.0,2750000.0,-,2032.0,Land,-,1353.0,Feb-2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6050,SERANGOON GARDEN ESTATE,FARLEIGH AVENUE,932,1.0,2750000.0,-,2293.0,Land,-,1199.0,Jul-2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6051,LANDED HOUSING DEVELOPMENT,EVERITT ROAD NORTH,999,1.0,2750000.0,-,2852.0,Land,-,964.0,Mar-2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6052,LANDED HOUSING DEVELOPMENT,JALAN KELEMPONG,999,1.0,2750000.0,-,3327.0,Land,-,827.0,Jul-2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
6053,SAVOY PARK,ENG KONG DRIVE,999,1.0,2750000.0,-,2181.0,Land,-,1261.0,Dec-2016,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
6054,LANDED HOUSING DEVELOPMENT,JOO CHIAT PLACE,999,1.0,2750000.0,-,1299.0,Land,-,2117.0,Nov-2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6055,CACTUS BLOOM,CACTUS ROAD,999,1.0,2750000.0,-,2146.0,Land,-,1281.0,Mar-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
6056,PAVILION PARK,PAVILION GREEN,999,1.0,2750000.0,-,1615.0,Land,-,1703.0,Oct-2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
6057,LANDED HOUSING DEVELOPMENT,CEYLON ROAD,999,1.0,2750000.0,-,2090.0,Land,-,1316.0,May-2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6058,SEMBAWANG HILLS ESTATE,CASUARINA ROAD,999,1.0,2750000.0,-,1468.0,Land,-,1873.0,Dec-2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
6059,SELETAR HILLS ESTATE,JALAN REDOP,857,1.0,2750000.0,-,3150.0,Land,-,873.0,Feb-2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
6060,PAVILION PARK,PAVILION CIRCLE,999,1.0,2750000.0,-,2464.0,Land,-,1116.0,Nov-2016,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
6061,SPRINGBROOK TERRACE,UPPER CHANGI ROAD NORTH,999,1.0,2750000.0,-,3681.0,Land,-,747.0,Mar-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6062,LANDED HOUSING DEVELOPMENT,JALAN PACHELI,999,1.0,2750000.0,-,2124.0,Land,-,1295.0,Feb-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6063,LANDED HOUSING DEVELOPMENT,UPPER EAST COAST ROAD,999,1.0,2750000.0,-,3021.0,Land,-,910.0,Oct-2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6064,MERA TERRACE,SEAGULL WALK,999,1.0,2750000.0,-,1615.0,Land,-,1703.0,Mar-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6065,LANDED HOUSING DEVELOPMENT,LORONG MYDIN,999,1.0,2750000.0,-,2355.0,Land,-,1168.0,May-2018,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6066,TEACHER'S HOUSING ESTATE,TU FU AVENUE,863,1.0,2750000.0,-,1807.0,Land,-,1522.0,Jul-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
6067,SELETAR HILLS ESTATE,JALAN LEBAT DAUN,857,1.0,2750000.0,-,3419.0,Land,-,804.0,Jul-2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
6068,SARACA GARDENS,SARACA VIEW,999,1.0,2750000.0,-,3162.0,Land,-,870.0,Apr-2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
6069,LANDED HOUSING DEVELOPMENT,JALAN KHAMIS,999,1.0,2750000.0,-,2024.0,Land,-,1359.0,Sep-2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
6070,LANDED HOUSING DEVELOPMENT,JALAN TANI,853,1.0,2750000.0,-,1841.0,Land,-,1494.0,Nov-2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6071,LANDED HOUSING DEVELOPMENT,PENAGA PLACE,86,1.0,2748888.0,-,3263.0,Land,-,843.0,Oct-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
6072,LANDED HOUSING DEVELOPMENT,RAMBAI ROAD,999,1.0,2748888.0,-,1848.0,Land,-,1487.0,May-2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6073,SEMBAWANG HILLS ESTATE,JALAN TELANG,999,1.0,2748000.0,-,1866.0,Land,-,1472.0,Mar-2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
6074,LANDED HOUSING DEVELOPMENT,ROSYTH ROAD,999,1.0,2740000.0,-,1804.0,Land,-,1519.0,Jul-2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6075,LANDED HOUSING DEVELOPMENT,JALAN HAJI SALAM,999,1.0,2740000.0,-,1734.0,Land,-,1580.0,Dec-2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6076,LANDED HOUSING DEVELOPMENT,LUCKY GARDENS,999,1.0,2740000.0,-,1804.0,Land,-,1519.0,Dec-2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6077,GOLDEN HILL ESTATE,LI HWAN CLOSE,999,1.0,2740000.0,-,1677.0,Land,-,1634.0,Jun-2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6078,COMFORT GARDEN,HONG SAN WALK,999,1.0,2740000.0,-,3330.0,Land,-,823.0,Dec-2016,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
6079,THOMSON GARDEN ESTATE,SIN MING ROAD,999,1.0,2740000.0,-,2414.0,Land,-,1135.0,May-2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
6080,NIM COLLECTION,NIM RISE,94,1.0,2738000.0,-,1970.0,Land,-,1390.0,Jan-2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
6081,LANDED HOUSING DEVELOPMENT,SIXTH AVENUE,854,1.0,2738000.0,-,2296.0,Land,-,1193.0,Dec-2017,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6082,SERANGOON GARDEN ESTATE,CONISTON GROVE,934,1.0,2738000.0,-,2640.0,Land,-,1037.0,Oct-2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6083,MIMOSA TERRACE,SARACA ROAD,999,1.0,2738000.0,-,2166.0,Land,-,1264.0,May-2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
6084,SILVER HILL,JALAN NAUNG,860,1.0,2738000.0,-,1643.0,Land,-,1667.0,Jun-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6085,NIM COLLECTION,NIM RISE,94,1.0,2738000.0,-,1905.0,Land,-,1437.0,Aug-2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
6086,SERANGOON GARDEN ESTATE,BERWICK DRIVE,933,1.0,2738000.0,-,2644.0,Land,-,1036.0,Aug-2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
6087,GENTLE VILLAS,GENTLE DRIVE,71,1.0,2738000.0,-,2263.0,Land,-,1210.0,Sep-2017,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
6088,GOLDENHILL VILLAS,GOLDEN WALK,999,1.0,2738000.0,-,1615.0,Land,-,1696.0,May-2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6089,LANDED HOUSING DEVELOPMENT,EASTWOOD DRIVE,73,1.0,2738000.0,-,2761.0,Land,-,992.0,Oct-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
6090,MIMOSA TERRACE,MIMOSA VIEW,999,1.0,2738000.0,-,1615.0,Land,-,1696.0,Jun-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
6091,BEDOK RIA,BEDOK RIA PLACE,999,1.0,2735000.0,-,1770.0,Land,-,1546.0,Jan-2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6092,LANDED HOUSING DEVELOPMENT,MERAGI ROAD,999,1.0,2734600.0,-,2486.0,Land,-,1100.0,Oct-2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6093,PARRY PARK,PARRY TERRACE,855,1.0,2734000.0,-,2877.0,Land,-,950.0,Jul-2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6094,NIM COLLECTION,NIM RISE,94,1.0,2733000.0,-,1970.0,Land,-,1387.0,Mar-2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
6095,TAI KENG GARDENS,TAI KENG GARDENS,999,1.0,2733000.0,-,1892.0,Land,-,1444.0,Apr-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6096,THE SPRINGSIDE,SPRINGSIDE VIEW,999,1.0,2733000.0,-,1744.0,Land,-,1567.0,Mar-2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
6097,GREENRIDGE,GREENRIDGE CRESCENT,999,1.0,2730000.0,-,1831.0,Land,-,1491.0,Mar-2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
6098,SARACA GARDENS,SARACA PLACE,999,1.0,2730000.0,-,2164.0,Land,-,1262.0,Oct-2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
6099,LEITH PARK,LEITH ROAD,999,1.0,2730000.0,-,1775.0,Land,-,1538.0,Apr-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6100,LANDED HOUSING DEVELOPMENT,HIGHLAND TERRACE,999,1.0,2730000.0,-,1877.0,Land,-,1454.0,Oct-2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6101,YEW LIAN PARK,TAMAN PERMATA,999,1.0,2730000.0,-,1978.0,Land,-,1380.0,Jul-2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
6102,GOLDEN HILL ESTATE,LI HWAN DRIVE,999,1.0,2730000.0,-,2464.0,Land,-,1108.0,Feb-2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6103,LANDED HOUSING DEVELOPMENT,KARIKAL LANE,999,1.0,2730000.0,-,1520.0,Land,-,1796.0,Jun-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6104,LANDED HOUSING DEVELOPMENT,TOH TUCK TERRACE,999,1.0,2730000.0,-,1964.0,Land,-,1390.0,Jan-2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
6105,LANDED HOUSING DEVELOPMENT,POH HUAT ROAD,861,1.0,2730000.0,-,1696.0,Land,-,1609.0,Jul-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6106,SERANGOON GARDEN ESTATE,HYTHE ROAD,932,1.0,2730000.0,-,2690.0,Land,-,1015.0,Sep-2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6107,HARVEY VIEW,HARVEY CRESCENT,999,1.0,2728900.0,-,1686.0,Land,-,1619.0,Jul-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6108,NIM COLLECTION,NIM RISE,94,1.0,2728888.0,-,1970.0,Land,-,1385.0,Jul-2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
6109,BEDOK RIA,BEDOK RIA PLACE,999,1.0,2728000.0,-,1770.0,Land,-,1542.0,May-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6110,THE SPRINGSIDE,SPRINGSIDE VIEW,999,1.0,2728000.0,-,1769.0,Land,-,1543.0,Jun-2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
6111,KEW GROVE,KEW DRIVE,999,1.0,2728000.0,-,2244.0,Land,-,1216.0,Mar-2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6112,LANDED HOUSING DEVELOPMENT,JALAN SAHABAT,999,1.0,2728000.0,-,1812.0,Land,-,1506.0,Nov-2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6113,PAVILION PARK,PAVILION GREEN,999,1.0,2726000.0,-,1616.0,Land,-,1687.0,Oct-2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
6114,PAVILION PARK,PAVILION CIRCLE,999,1.0,2725619.0,-,1615.0,Land,-,1688.0,Oct-2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
6115,PAVILION PARK,PAVILION GREEN,999,1.0,2725619.0,-,1615.0,Land,-,1688.0,Oct-2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
6116,LENTOR VIEW,LENTOR PLACE,999,1.0,2725000.0,-,2034.0,Land,-,1339.0,Jul-2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
6117,LANDED HOUSING DEVELOPMENT,LORONG MARZUKI,999,1.0,2725000.0,-,1767.0,Land,-,1542.0,Dec-2018,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6118,SERANGOON GARDEN ESTATE,BROCKHAMPTON DRIVE,933,1.0,2725000.0,-,2792.0,Land,-,976.0,Sep-2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6119,SEMBAWANG SPRINGS ESTATE,JALAN KEMUNING,863,1.0,2725000.0,-,3995.0,Land,-,682.0,May-2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
6120,LANDED HOUSING DEVELOPMENT,DUKU ROAD,999,1.0,2725000.0,-,1735.0,Land,-,1570.0,Oct-2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6121,SELETAR HILLS ESTATE,JALAN CHERMAI,857,1.0,2722323.0,-,2721.0,Land,-,1000.0,Jul-2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
6122,SEMBAWANG SPRINGS ESTATE,JALAN KEMUNING,863,1.0,2722000.0,-,3973.0,Land,-,685.0,Feb-2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
6123,LANDED HOUSING DEVELOPMENT,JOO CHIAT PLACE,999,1.0,2720000.0,-,959.0,Land,-,2836.0,Jan-2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6124,TANAH MERAH GREEN,TANAH MERAH KECHIL RISE,75,1.0,2720000.0,-,4252.0,Land,-,640.0,Jul-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6125,BEDOK PESARI,TAMAN BEDOK,999,1.0,2720000.0,-,1934.0,Land,-,1406.0,Jan-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6126,PAVILION PARK,PAVILION GREEN,999,1.0,2720000.0,-,1616.0,Land,-,1684.0,Jul-2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
6127,SENG YONG VILLAS,JALAN GRISEK,999,1.0,2720000.0,-,1771.0,Land,-,1536.0,Nov-2020,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
