index,project name,street name,tenure,type of sale,no. of units,price,nett price,areasq,type of area,floor level,unit price psf,date of sale,market segment_CCR,market segment_OCR,market segment_RCR,postal district_2.0,postal district_3.0,postal district_4.0,postal district_5.0,postal district_8.0,postal district_9.0,postal district_10.0,postal district_11.0,postal district_12.0,postal district_13.0,postal district_14.0,postal district_15.0,postal district_16.0,postal district_17.0,postal district_18.0,postal district_19.0,postal district_20.0,postal district_21.0,postal district_22.0,postal district_23.0,postal district_25.0,postal district_26.0,postal district_27.0,postal district_28.0,type_Detached,type_Semi-detached,type_Terrace
105,KISMIS RESIDENCES,ENG KONG TERRACE,999,New Sale,1.0,4150000.0,-,1615.0,Land,-,2570.0,Apr-2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
106,KISMIS RESIDENCES,UPPER TOH TUCK TERRACE,999,New Sale,1.0,4150000.0,-,1615.0,Land,-,2570.0,Apr-2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
107,KISMIS RESIDENCES,ENG KONG TERRACE,999,New Sale,1.0,4150000.0,-,1615.0,Land,-,2570.0,Feb-2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
108,KISMIS RESIDENCES,UPPER TOH TUCK TERRACE,999,New Sale,1.0,4150000.0,-,1615.0,Land,-,2570.0,Dec-2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
109,SHAMROCK PARK,NAMLY PLACE,999,Resale,1.0,6388880.0,-,2488.0,Land,-,2568.0,Oct-2021,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
110,HUA GUAN GARDENS,HUA GUAN AVENUE,861,Resale,1.0,4430000.0,-,1725.0,Land,-,2567.0,Mar-2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
111,LANDED HOUSING DEVELOPMENT,MING TECK PARK,854,Resale,1.0,4800000.0,-,1872.0,Land,-,2564.0,May-2021,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
112,LANDED HOUSING DEVELOPMENT,NIVEN ROAD,999,Resale,1.0,3200000.0,-,1249.0,Land,-,2563.0,Mar-2019,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
113,THE GREENWOOD,GREENWOOD LANE,999,Resale,1.0,4128000.0,-,1615.0,Land,-,2557.0,Jan-2021,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
114,LANDED HOUSING DEVELOPMENT,JALAN KAYU MANIS,999,Resale,1.0,4218000.0,-,1650.0,Land,-,2556.0,Nov-2019,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
115,LANDED HOUSING DEVELOPMENT,GREENWOOD AVENUE,999,Resale,1.0,6600000.0,-,2586.0,Land,-,2553.0,Sep-2021,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
116,KISMIS RESIDENCES,ENG KONG TERRACE,999,New Sale,1.0,4120000.0,-,1615.0,Land,-,2552.0,Feb-2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
117,LANDED HOUSING DEVELOPMENT,SOPHIA ROAD,999,Resale,1.0,2010000.0,-,788.0,Land,-,2551.0,Jun-2017,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
118,WATTEN ESTATE,WATTEN RISE,999,Resale,1.0,4500000.0,-,1765.0,Land,-,2549.0,Dec-2017,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
119,LANDED HOUSING DEVELOPMENT,BARKER ROAD,999,Resale,1.0,4350000.0,-,1707.0,Land,-,2548.0,Jun-2020,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
120,HILLCREST PARK,GREENWOOD AVENUE,999,Resale,1.0,6330000.0,-,2484.0,Land,-,2548.0,Feb-2021,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
121,LANDED HOUSING DEVELOPMENT,WHITLEY ROAD,999,New Sale,1.0,5480000.0,-,2153.0,Land,-,2546.0,Aug-2017,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
122,KISMIS RESIDENCES,LORONG KISMIS,999,New Sale,1.0,4220000.0,-,1658.0,Land,-,2546.0,Feb-2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
123,LANDED HOUSING DEVELOPMENT,LORNIE ROAD,999,Resale,1.0,26800000.0,-,10529.0,Land,-,2545.0,Sep-2021,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
124,LANDED HOUSING DEVELOPMENT,AMBER ROAD,999,Resale,4.0,58000000.0,-,22792.0,Land,-,2545.0,Sep-2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
125,LANDED HOUSING DEVELOPMENT,GREENLEAF DRIVE,999,Resale,1.0,6000000.0,-,2357.0,Land,-,2545.0,Oct-2018,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
126,KISMIS RESIDENCES,ENG KONG TERRACE,999,New Sale,1.0,4100000.0,-,1615.0,Land,-,2539.0,Mar-2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
127,KISMIS RESIDENCES,UPPER TOH TUCK TERRACE,999,New Sale,1.0,4100000.0,-,1615.0,Land,-,2539.0,Nov-2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
128,THE GREENWOOD,GREENWOOD LANE,999,Resale,1.0,4150000.0,-,1635.0,Land,-,2538.0,Aug-2020,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
129,THE GREENWOOD,GREENWOOD AVENUE,999,Resale,1.0,4468000.0,-,1764.0,Land,-,2533.0,Jul-2021,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
130,KISMIS RESIDENCES,UPPER TOH TUCK TERRACE,999,New Sale,1.0,4080000.0,-,1615.0,Land,-,2527.0,Jan-2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
131,KISMIS RESIDENCES,UPPER TOH TUCK TERRACE,999,New Sale,1.0,4080000.0,-,1615.0,Land,-,2527.0,May-2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
132,THE GREENWOOD,GREENWOOD AVENUE,999,Resale,1.0,4218000.0,-,1669.0,Land,-,2527.0,Sep-2020,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
133,CORONATION VILLAGE,CORONATION ROAD,853,Resale,1.0,4568000.0,-,1808.0,Land,-,2526.0,Jul-2021,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
134,CAYMAN RESIDENCES,EAST COAST AVENUE,999,New Sale,1.0,4400000.0,-,1744.0,Land,-,2523.0,Jul-2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
135,LANDED HOUSING DEVELOPMENT,WATTEN RISE,999,Resale,1.0,9950000.0,-,3947.0,Land,-,2521.0,Jul-2020,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
136,OPERA ESTATE,FIGARO STREET,999,Resale,1.0,3650000.0,-,1449.0,Land,-,2519.0,Feb-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
137,LANDED HOUSING DEVELOPMENT,BO SENG AVENUE,999,Resale,1.0,5480000.0,-,2175.0,Land,-,2519.0,Jul-2021,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
138,DYSON RITZ,TAN SIM BOH ROAD,999,New Sale,1.0,5450000.0,-,2164.0,Land,-,2519.0,Feb-2018,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
139,LANDED HOUSING DEVELOPMENT,MANGIS ROAD,999,Resale,1.0,3200000.0,-,1270.0,Land,-,2519.0,Aug-2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
140,LANDED HOUSING DEVELOPMENT,VANDA AVENUE,999,Resale,1.0,9100000.0,-,3613.0,Land,-,2518.0,Jan-2021,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
141,LANDED HOUSING DEVELOPMENT,LORONG 101 CHANGI,999,Resale,1.0,2250000.0,-,893.0,Land,-,2518.0,Apr-2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
142,CAPITOL PARK,JALAN SENI,999,Resale,1.0,4600000.0,-,1828.0,Land,-,2517.0,Jul-2019,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
143,LANDED HOUSING DEVELOPMENT,COVE DRIVE,85,Resale,1.0,23988000.0,-,9539.0,Land,-,2515.0,Nov-2018,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
144,LANDED HOUSING DEVELOPMENT,NAROOMA ROAD,999,Resale,1.0,13000000.0,-,5180.0,Land,-,2510.0,Oct-2019,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
145,LANDED HOUSING DEVELOPMENT,JALAN KELAWAR,999,Resale,1.0,9425000.0,-,3761.0,Land,-,2506.0,Sep-2021,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
146,KISMIS RESIDENCES,LORONG KISMIS,999,New Sale,1.0,4150000.0,-,1658.0,Land,-,2504.0,Feb-2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
147,LANDED HOUSING DEVELOPMENT,MANGIS ROAD,999,Resale,1.0,3238888.0,-,1294.0,Land,-,2503.0,Apr-2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
148,LANDED HOUSING DEVELOPMENT,BERRIMA ROAD,999,Resale,1.0,11938000.0,-,4771.0,Land,-,2502.0,Aug-2021,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
149,LANDED HOUSING DEVELOPMENT,NAMLY AVENUE,999,Resale,1.0,8080000.0,-,3229.0,Land,-,2502.0,Jul-2020,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
150,MOUNT SINAI,MOUNT SINAI DRIVE,863,Resale,1.0,4660000.0,-,1863.0,Land,-,2501.0,Oct-2020,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
151,LANDED HOUSING DEVELOPMENT,SIXTH AVENUE,999,Resale,1.0,11200000.0,-,4478.0,Land,-,2501.0,May-2021,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
152,CAPITOL PARK,JALAN ADAT,999,Resale,1.0,4570000.0,-,1828.0,Land,-,2500.0,Sep-2018,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
153,LANDED HOUSING DEVELOPMENT,CORONATION ROAD WEST,999,Resale,1.0,13000000.0,-,5210.0,Land,-,2495.0,Nov-2018,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
154,KISMIS RESIDENCES,ENG KONG TERRACE,999,New Sale,1.0,4028000.0,-,1615.0,Land,-,2495.0,Apr-2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
155,CAYMAN RESIDENCES,EAST COAST AVENUE,999,New Sale,1.0,4350000.0,-,1744.0,Land,-,2495.0,Oct-2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
156,LANDED HOUSING DEVELOPMENT,DALVEY ESTATE,999,Resale,1.0,50000000.0,-,20049.0,Land,-,2494.0,May-2021,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
157,FRANKEL ESTATE,WILTON GARDENS,999,Resale,1.0,4288000.0,-,1719.0,Land,-,2494.0,Feb-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
158,LANDED HOUSING DEVELOPMENT,VANDA AVENUE,999,Resale,1.0,9000000.0,-,3613.0,Land,-,2491.0,Mar-2020,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
159,LANDED HOUSING DEVELOPMENT,PRINCESS OF WALES ROAD,999,Resale,1.0,12800000.0,-,5138.0,Land,-,2491.0,Mar-2018,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
160,LANDED HOUSING DEVELOPMENT,VANDA AVENUE,999,New Sale,1.0,9000000.0,-,3613.0,Land,-,2491.0,Nov-2019,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
161,LANDED HOUSING DEVELOPMENT,PEGU ROAD,999,Resale,1.0,3900000.0,-,1566.0,Land,-,2490.0,Jul-2021,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
162,KISMIS RESIDENCES,LORONG KISMIS,999,New Sale,1.0,4122000.0,-,1658.0,Land,-,2487.0,Jan-2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
163,LANDED HOUSING DEVELOPMENT,NIVEN ROAD,999,Resale,1.0,3600000.0,-,1448.0,Land,-,2487.0,Jun-2018,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
164,MACPHERSON GARDEN ESTATE,JALAN MESRA,999,Resale,1.0,2200000.0,-,886.0,Land,-,2483.0,Aug-2021,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
165,LANDED HOUSING DEVELOPMENT,MARTABAN ROAD,999,Resale,1.0,3900000.0,-,1572.0,Land,-,2482.0,Dec-2020,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
166,KISMIS RESIDENCES,ENG KONG TERRACE,999,New Sale,1.0,4000000.0,-,1615.0,Land,-,2477.0,Mar-2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
167,KISMIS RESIDENCES,ENG KONG ROAD,999,New Sale,1.0,4000000.0,-,1615.0,Land,-,2477.0,Feb-2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
168,KISMIS RESIDENCES,UPPER TOH TUCK TERRACE,999,New Sale,1.0,4000000.0,-,1615.0,Land,-,2477.0,Apr-2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
169,KISMIS RESIDENCES,ENG KONG TERRACE,999,New Sale,1.0,4000000.0,-,1615.0,Land,-,2477.0,Mar-2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
170,KISMIS RESIDENCES,ENG KONG TERRACE,999,New Sale,1.0,4000000.0,-,1615.0,Land,-,2477.0,Apr-2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
171,LANDED HOUSING DEVELOPMENT,PEGU ROAD,999,Resale,1.0,3880000.0,-,1567.0,Land,-,2476.0,Apr-2021,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
172,OPERA ESTATE,FIGARO STREET,999,Resale,1.0,3580000.0,-,1448.0,Land,-,2473.0,Jan-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
173,LANDED HOUSING DEVELOPMENT,KING'S ROAD,999,Resale,1.0,4858888.0,-,1966.0,Land,-,2472.0,Jun-2021,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
174,OPERA ESTATE,FIGARO STREET,999,Resale,1.0,3600000.0,-,1456.0,Land,-,2472.0,May-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
175,LANDED HOUSING DEVELOPMENT,GREENDALE AVENUE,999,Resale,1.0,6800000.0,-,2751.0,Land,-,2472.0,Apr-2021,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
176,OPERA ESTATE,NORMA TERRACE,999,Resale,1.0,3950000.0,-,1600.0,Land,-,2469.0,Aug-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
177,HILLCREST PARK,GREENWOOD AVENUE,999,Resale,1.0,5900000.0,-,2393.0,Land,-,2466.0,Apr-2018,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
178,CAYMAN RESIDENCES,EAST COAST AVENUE,999,New Sale,1.0,4300000.0,-,1744.0,Land,-,2466.0,Oct-2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
179,LANDED HOUSING DEVELOPMENT,COVE GROVE,86,Resale,1.0,24000000.0,-,9740.0,Land,-,2464.0,Feb-2020,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
180,OPERA ESTATE,FIGARO STREET,999,Resale,1.0,3560000.0,-,1445.0,Land,-,2464.0,Dec-2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
181,LANDED HOUSING DEVELOPMENT,JALAN PANDAN,999,Resale,1.0,11500000.0,-,4669.0,Land,-,2463.0,Jan-2020,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
182,LANDED HOUSING DEVELOPMENT,WHITLEY ROAD,999,New Sale,1.0,5300000.0,-,2153.0,Land,-,2462.0,Sep-2017,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
183,LANDED HOUSING DEVELOPMENT,CAMBRIDGE ROAD,999,Resale,1.0,3800000.0,-,1548.0,Land,-,2455.0,Aug-2021,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
184,MING TECK PARK,MING TECK PARK,854,Resale,1.0,4750000.0,-,1935.0,Land,-,2454.0,Oct-2021,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
185,PARADISE ISLAND,PARADISE ISLAND,83,Resale,1.0,19898000.0,-,8137.0,Land,-,2446.0,Nov-2017,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
186,LANDED HOUSING DEVELOPMENT,WHITLEY ROAD,999,Resale,1.0,5250000.0,-,2153.0,Land,-,2439.0,Jul-2018,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
187,LANDED HOUSING DEVELOPMENT,ONE TREE HILL,999,Resale,1.0,13000000.0,-,5334.0,Land,-,2437.0,Dec-2019,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
188,LANDED HOUSING DEVELOPMENT,CORONATION DRIVE,853,New Sale,1.0,13580000.0,-,5574.0,Land,-,2436.0,Nov-2019,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
189,LANDED HOUSING DEVELOPMENT,HOLLAND GROVE LANE,999,Resale,1.0,10500000.0,-,4313.0,Land,-,2434.0,Jun-2020,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
190,GREENWOOD VILLAS,GREENWOOD WALK,999,Resale,1.0,5680000.0,-,2335.0,Land,-,2433.0,Feb-2021,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
191,WATTEN ESTATE,WATTEN CLOSE,999,Resale,1.0,4290000.0,-,1764.0,Land,-,2432.0,May-2019,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
192,LANDED HOUSING DEVELOPMENT,KIM YAM ROAD,75,Resale,1.0,2625000.0,-,1080.0,Land,-,2431.0,Jul-2019,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
193,LANDED HOUSING DEVELOPMENT,HOLLAND GROVE LANE,999,Resale,1.0,10180000.0,-,4189.0,Land,-,2430.0,Aug-2020,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
194,THE GREENWOOD,GREENWOOD TERRACE,999,Resale,1.0,4156000.0,-,1711.0,Land,-,2428.0,Nov-2020,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
195,LANDED HOUSING DEVELOPMENT,ENG KONG ROAD,999,Resale,1.0,4400888.0,-,1813.0,Land,-,2428.0,Sep-2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
196,LANDED HOUSING DEVELOPMENT,LORONG MARZUKI,999,Resale,1.0,4350000.0,-,1792.0,Land,-,2427.0,Jun-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
197,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,91,New Sale,1.0,5800000.0,-,2390.0,Land,-,2427.0,Feb-2018,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
198,LANDED HOUSING DEVELOPMENT,JALAN KELAWAR,999,Resale,1.0,11880000.0,-,4897.0,Land,-,2426.0,Aug-2021,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
199,LANDED HOUSING DEVELOPMENT,HILLCREST ROAD,999,Resale,1.0,7800000.0,-,3221.0,Land,-,2422.0,Apr-2021,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
200,LANDED HOUSING DEVELOPMENT,MAKEPEACE ROAD,999,Resale,1.0,3750000.0,-,1549.0,Land,-,2421.0,May-2018,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
201,LANDED HOUSING DEVELOPMENT,LOTUS AVENUE,999,Resale,1.0,4188000.0,-,1731.0,Land,-,2420.0,Jan-2021,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
202,LANDED HOUSING DEVELOPMENT,JALAN PANDAN,999,Resale,1.0,11300000.0,-,4669.0,Land,-,2420.0,Sep-2020,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
203,LANDED HOUSING DEVELOPMENT,COVE DRIVE,84,Resale,1.0,43666000.0,-,18053.0,Land,-,2419.0,Feb-2021,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
204,LANDED HOUSING DEVELOPMENT,CHANCERY LANE,999,Resale,1.0,10500000.0,-,4340.0,Land,-,2419.0,Apr-2018,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
205,ROBIN VILLAGE,ROBIN ROAD,999,Resale,1.0,3900000.0,-,1614.0,Land,-,2417.0,Mar-2021,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
206,LANDED HOUSING DEVELOPMENT,JALAN AMPANG,999,Resale,1.0,5250000.0,-,2173.0,Land,-,2416.0,Jul-2021,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
207,LANDED HOUSING DEVELOPMENT,WHITLEY ROAD,999,New Sale,1.0,5200000.0,-,2153.0,Land,-,2415.0,Aug-2017,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
208,HILLCREST PARK,GREENMEAD AVENUE,999,Resale,1.0,6550000.0,-,2714.0,Land,-,2414.0,Feb-2021,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
209,KISMIS RESIDENCES,LORONG KISMIS,999,New Sale,1.0,4000000.0,-,1658.0,Land,-,2413.0,Jan-2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
210,LANDED HOUSING DEVELOPMENT,WHITLEY ROAD,999,Resale,1.0,5400000.0,-,2239.0,Land,-,2412.0,Feb-2019,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
