index,project name,street name,type,tenure,postal district,market segment,type of sale,no. of units,price,nett price,areasq,type of area,floor level,unit price psf,date of sale
2511,TAI HWAN GARDEN,TAI HWAN HEIGHTS,Detached,999,19.0,OCR,Resale,1.0,4300000.0,-,4647.0,Land,-,925.0,Oct-2019
2512,LANDED HOUSING DEVELOPMENT,JALAN TELITI,Semi-detached,999,19.0,OCR,Resale,1.0,4300000.0,-,4331.0,Land,-,993.0,Jun-2021
2513,LANDED HOUSING DEVELOPMENT,JALAN KAYU MANIS,Terrace,999,9.0,CCR,Resale,1.0,4300000.0,-,1650.0,Land,-,2606.0,Jul-2021
2514,PASIR RIS BEACH PARK,PASIR RIS AVENUE,Semi-detached,852,18.0,OCR,Resale,1.0,4300000.0,-,4003.0,Land,-,1074.0,Mar-2021
2515,LANDED HOUSING DEVELOPMENT,JALAN BELANGKAS,Semi-detached,999,13.0,RCR,Resale,1.0,4300000.0,-,5712.0,Land,-,753.0,Apr-2021
2516,HILLVIEW GARDEN ESTATE,JALAN REMAJA,Semi-detached,863,23.0,OCR,Resale,1.0,4300000.0,-,3301.0,Land,-,1303.0,Aug-2017
2517,LANDED HOUSING DEVELOPMENT,MEYER ROAD,Semi-detached,999,15.0,RCR,Resale,1.0,4300000.0,-,3430.0,Land,-,1253.0,Jan-2018
2518,LANDED HOUSING DEVELOPMENT,JALAN RAYA,Semi-detached,999,13.0,RCR,Resale,1.0,4300000.0,-,4333.0,Land,-,992.0,Aug-2020
2519,KISMIS RESIDENCES,UPPER TOH TUCK TERRACE,Terrace,999,21.0,RCR,New Sale,1.0,4300000.0,-,1615.0,Land,-,2663.0,Jan-2018
2520,LANDED HOUSING DEVELOPMENT,EAST COAST ROAD,Terrace,999,15.0,OCR,Resale,1.0,4300000.0,-,2225.0,Land,-,1933.0,Mar-2021
2521,LANDED HOUSING DEVELOPMENT,BRIGHT HILL CRESCENT,Semi-detached,999,20.0,RCR,Resale,1.0,4300000.0,-,3531.0,Land,-,1218.0,Jan-2019
2522,LANDED HOUSING DEVELOPMENT,EAST COAST TERRACE,Terrace,999,15.0,OCR,Resale,1.0,4300000.0,-,2170.0,Land,-,1982.0,Apr-2017
2523,LANDED HOUSING DEVELOPMENT,UPPER PAYA LEBAR ROAD,Detached,999,19.0,OCR,Resale,1.0,4300000.0,-,5034.0,Land,-,854.0,Jan-2018
2524,LANDED HOUSING DEVELOPMENT,PAYA LEBAR CRESCENT,Terrace,999,19.0,OCR,Resale,1.0,4300000.0,-,4145.0,Land,-,1037.0,Apr-2021
2525,SEMBAWANG HILLS ESTATE,JALAN SAPPAN,Semi-detached,999,20.0,OCR,Resale,1.0,4300000.0,-,4001.0,Land,-,1075.0,Oct-2020
2526,NANYANG PARK,JALAN LIMBOK,Semi-detached,859,19.0,OCR,Resale,1.0,4300000.0,-,4366.0,Land,-,985.0,Mar-2018
2527,SEMBAWANG HILLS ESTATE,JALAN TELANG,Terrace,999,20.0,OCR,Resale,1.0,4300000.0,-,2203.0,Land,-,1952.0,Aug-2021
2528,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Semi-detached,91,10.0,CCR,New Sale,1.0,4299000.0,-,2312.0,Land,-,1859.0,Jul-2017
2529,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Semi-detached,91,10.0,CCR,New Sale,1.0,4299000.0,-,2336.0,Land,-,1840.0,Jul-2017
2530,WATTEN ESTATE,WATTEN CLOSE,Terrace,999,11.0,CCR,Resale,1.0,4290000.0,-,1764.0,Land,-,2432.0,May-2019
2531,SEMBAWANG HILLS ESTATE,JALAN GELENGGANG,Terrace,999,20.0,OCR,Resale,1.0,4290000.0,-,2633.0,Land,-,1629.0,Jul-2021
2532,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Semi-detached,91,10.0,CCR,New Sale,1.0,4289000.0,-,2300.0,Land,-,1865.0,Jul-2017
2533,LANDED HOUSING DEVELOPMENT,CHUAN GARDEN,Semi-detached,999,19.0,OCR,Resale,1.0,4288000.0,-,3211.0,Land,-,1335.0,Nov-2020
2534,FRANKEL ESTATE,WILTON GARDENS,Terrace,999,15.0,OCR,Resale,1.0,4288000.0,-,1719.0,Land,-,2494.0,Feb-2021
2535,GOLDEN HILL ESTATE,MEI HWAN DRIVE,Semi-detached,999,20.0,OCR,Resale,1.0,4288000.0,-,3601.0,Land,-,1191.0,Dec-2020
2536,SELETAR HILLS ESTATE,SELETAR HILLS DRIVE,Semi-detached,857,28.0,OCR,Resale,1.0,4280000.0,-,5406.0,Land,-,792.0,Sep-2021
2537,LANDED HOUSING DEVELOPMENT,BRIGHTON CRESCENT,Semi-detached,999,19.0,OCR,Resale,1.0,4280000.0,-,4386.0,Land,-,976.0,Sep-2019
2538,APOLLO GARDENS,SUNBIRD CIRCLE,Semi-detached,999,16.0,OCR,Resale,1.0,4280000.0,-,3650.0,Land,-,1173.0,Sep-2017
2539,LANDED HOUSING DEVELOPMENT,ENG KONG GARDEN,Semi-detached,999,21.0,RCR,Resale,1.0,4280000.0,-,3810.0,Land,-,1123.0,Dec-2020
2540,FRANKEL ESTATE,BOWMONT GARDENS,Semi-detached,999,15.0,OCR,Resale,1.0,4280000.0,-,2574.0,Land,-,1663.0,Jan-2018
2541,LANDED HOUSING DEVELOPMENT,SOMMERVILLE WALK,Terrace,999,13.0,OCR,Resale,1.0,4280000.0,-,2171.0,Land,-,1971.0,Nov-2019
2542,LANDED HOUSING DEVELOPMENT,LORONG GAMBIR,Detached,999,19.0,OCR,Resale,1.0,4280000.0,-,6064.0,Land,-,706.0,Apr-2017
2543,LANDED HOUSING DEVELOPMENT,WOLSKEL ROAD,Semi-detached,999,13.0,OCR,Resale,1.0,4280000.0,-,4272.0,Land,-,1002.0,Mar-2017
2544,LANDED HOUSING DEVELOPMENT,FLOWER ROAD,Terrace,862,19.0,OCR,New Sale,1.0,4280000.0,-,2153.0,Land,-,1988.0,Jan-2021
2545,LANDED HOUSING DEVELOPMENT,LORONG STANGEE,Terrace,999,15.0,RCR,Resale,1.0,4280000.0,-,2626.0,Land,-,1630.0,Mar-2021
